OrgDefinedId,code,Attendance Out of 6 Classes Points Grade <Numeric MaxPoints:6>,Quiz 1 Points Grade <Numeric MaxPoints:1>,Quiz 2 Points Grade <Numeric MaxPoints:1>,Midterms Points Grade <Numeric MaxPoints:300>,ACC3202 Individual Project Upload Points Grade <Numeric MaxPoints:5>,ACC3202 Titanic Bonus Credit Project Upload Points Grade <Numeric MaxPoints:5>,2nd Attendance Out of 7 Classes Points Grade <Numeric MaxPoints:7>,AGILE Group Project Points Grade <Numeric MaxPoints:100>,Quiz 3 Points Grade <Numeric MaxPoints:1>,comment,Connect AIS Points Grade <Numeric MaxPoints:100>,Connect DA Points Grade <Numeric MaxPoints:100>,Calculated Final Grade Numerator,Calculated Final Grade Denominator,Adjusted Final Grade Numerator,Adjusted Final Grade Denominator,End-of-Line Indicator
#24173118,923896,5,0.7,0.9,300,,,,70,,"Data Analytics (25%, Score 16/25): The DA portion included two charts, one table of concurrent players and one revenue chart for FPS-related games. While the content was relevant, the analysis lacked interpretation and did not explain why these statistics matter for the proposed game. There was little discussion of player trends, genre appeal, or how the data informed specific design decisions. In addition, the charts had white backgrounds that did not match the rest of the slide theme, which weakened the cohesiveness of the DA section and made the visuals feel detached from the rest of the project. Overall, the analytics met minimal requirements but lacked depth, explanation, and visual alignment. Game Vision and User Stories (20%, Score 12/20): The group paired a cute, stylistic animation with an FPS concept, but the story and art direction did not align clearly. The Squid Game–influenced typography contrasted with the lighthearted animation style, creating a thematic mismatch. The project also did not establish how the game differed from existing FPS titles, leaving the vision underdeveloped and unclear. User stories and player motivations were not strongly emphasized, reducing clarity regarding the intended player experience. UI/UX Mock-up (15%, Score 11/15): The visuals showed effort and creativity, with appealing assets and animations. However, mismatches in color themes, slide styling, and gameplay visuals reduced cohesion. The UI/UX elements were aesthetically pleasing but not thematically unified with the narrative or gameplay concept. A more consistent palette and refined design direction would strengthen overall clarity and professionalism. Game Mechanics (15%, Score 10/15): The mechanics were present but not well justified. Without explanation of how the gameplay differs from standard FPS titles, the mechanics remained generic and lacked grounding in a unique game vision. More detail on progression, unique mechanics, or novel gameplay loops would improve this section. Agile Process Participation (10%, Score 8/10): The strong aesthetic direction suggests that certain team members contributed heavily to visual polish. However, the imbalance between design detail and content depth indicates uneven contribution or misallocation of time. All required components were completed, but coordination across narrative, gameplay, and analytics could be improved. Presentation (15%, Score 13/15): The presentation showcased appealing visuals, but the explanation of the story concept, uniqueness, and DA rationale was limited. Delivery was acceptable overall, yet the lack of conceptual clarity affected communication. Stronger emphasis on how the game works, why it stands out, and how data supports design choices would improve the presentation.",97.61904762,94.02985075,306.6,308,,,#
#24191282,844791,5,1,0.75,226.67,,,,74,,"Data Analytics (25%, Score 17/25): The group incorporated multiple Excel charts, showing effort in using visualization tools and a willingness to apply data analytics techniques. However, the analytics lacked coherence and interpretive flow. The first chart indicated that RPG is the top genre, but the second chart suggested that revenues for survival games are increasing linearly, and these insights were not connected or linked to the proposed game. A third chart compared unrelated genres without a clear narrative. Overall, the section met the basic requirement of producing charts but did not demonstrate meaningful reasoning or support for game design decisions. Game Vision and User Stories (20%, Score 14/20): The vision of an RPG involving repelling enemies was presented, but the premise felt underdeveloped and unclear, which became more evident during Q and A. The purpose, world, and motivation behind the game were not consistently articulated. The group would benefit from expanded user stories that specify the player role, objectives, and progression. The foundation exists, but the clarity needed for a compelling vision is lacking. UI/UX Mock-up (15%, Score 11/15): The mock-up contained many detailed components, showing effort and attention to visual elements. However, the UI appeared disconnected from the core storyline and did not reinforce the game’s theme or narrative. Effective UI should reflect the world and mechanics of the game, and the mismatch weakened cohesion. Game Mechanics (15%, Score 12/15): The mechanics outlined were logical and internally consistent, with clear descriptions of combat and interactions. However, because the overall vision was unclear, these mechanics felt isolated rather than integrated into a cohesive system. The logic is present but not grounded in a strong conceptual framework. Agile Process Participation (10%, Score 8/10): The group produced many slides and detailed breakdowns, suggesting good task division and active participation. However, uneven clarity across sections indicates that the team may not have aligned early on a shared direction. Stronger communication would improve coherence. Presentation (15%, Score 12/15): The presenters communicated the basic structure of the game but struggled to articulate its purpose and internal logic during questions. Delivery was acceptable, though conceptual gaps reduced audience understanding. Strengthening the ability to explain reasoning would improve overall presentation quality.",96.42857143,93.28358209,233.42,308,,,#
#24231794,894865,6,0.9,0.35,273.33,,,,68,,"Data Analytics (25%, Score 15/25): The most notable DA element was an original bar chart visualizing user story priorities, showing creativity in merging Agile concepts with data visualization. However, the execution had several weaknesses. The color coding was misleading, with high priorities appearing in red—a color usually associated with negative or low value—and low priorities in blue. The chart lacked interpretation and did not explain how these priorities influenced the game design. No clear connection was drawn between the DA insights and the mechanics, theme, or gameplay. While the attempt was original, the absence of analytic reasoning and the confusing visual choices limit the DA score. Game Vision and User Stories (20%, Score 11/20): The concept of an RPG city exploration game is workable, but the vision was not articulated in enough detail. More clarity was needed on what makes this particular city exploration unique, who the player is, and what the core gameplay loop entails. Although the user story prioritization chart appeared in the DA section, the user stories themselves were not clearly tied back to the gameplay or vision, weakening coherence. UI/UX Mock-up (15%, Score 10/15): UI/UX was clearly a weaker element. A standard PowerPoint template was used with minimal customization, and the visuals lacked cohesion and thematic identity. An AI-generated mock-up was included, but it did not meaningfully communicate the interface or atmosphere. Overall, the section appeared underdeveloped and suggested limited design effort and incomplete understanding of UI expectations. Game Mechanics (15%, Score 10/15): The mechanics were present but not well developed. Many ideas were generic RPG city-exploration elements with limited originality. There was little explanation of how the mechanics interact, why they matter for player experience, or how they differentiate the game from existing titles. Agile Process Participation (10%, Score 8/10): Sparse mock-ups, limited aesthetic work, and uneven depth across sections suggest that Agile principles were not effectively applied. Task distribution appeared uneven, with insufficient parallel development. Better coordination and stronger design execution would have improved this component. Presentation (15%, Score 14/15): The presentation itself was clear, and the presenter was well chosen. The group communicated the basic concept effectively. Improvements in pacing, narrative articulation, and slide design would strengthen future presentations, but overall this section was solid relative to the rest of the project.",95.23809524,94.02985075,280.58,308,,,#
#24233099,342736,6,1,0.75,273.33,,,,74,,"Data Analytics (25%, Score 17/25): The group incorporated multiple Excel charts, showing effort in using visualization tools and a willingness to apply data analytics techniques. However, the analytics lacked coherence and interpretive flow. The first chart indicated that RPG is the top genre, but the second chart suggested that revenues for survival games are increasing linearly, and these insights were not connected or linked to the proposed game. A third chart compared unrelated genres without a clear narrative. Overall, the section met the basic requirement of producing charts but did not demonstrate meaningful reasoning or support for game design decisions. Game Vision and User Stories (20%, Score 14/20): The vision of an RPG involving repelling enemies was presented, but the premise felt underdeveloped and unclear, which became more evident during Q and A. The purpose, world, and motivation behind the game were not consistently articulated. The group would benefit from expanded user stories that specify the player role, objectives, and progression. The foundation exists, but the clarity needed for a compelling vision is lacking. UI/UX Mock-up (15%, Score 11/15): The mock-up contained many detailed components, showing effort and attention to visual elements. However, the UI appeared disconnected from the core storyline and did not reinforce the game’s theme or narrative. Effective UI should reflect the world and mechanics of the game, and the mismatch weakened cohesion. Game Mechanics (15%, Score 12/15): The mechanics outlined were logical and internally consistent, with clear descriptions of combat and interactions. However, because the overall vision was unclear, these mechanics felt isolated rather than integrated into a cohesive system. The logic is present but not grounded in a strong conceptual framework. Agile Process Participation (10%, Score 8/10): The group produced many slides and detailed breakdowns, suggesting good task division and active participation. However, uneven clarity across sections indicates that the team may not have aligned early on a shared direction. Stronger communication would improve coherence. Presentation (15%, Score 12/15): The presenters communicated the basic structure of the game but struggled to articulate its purpose and internal logic during questions. Delivery was acceptable, though conceptual gaps reduced audience understanding. Strengthening the ability to explain reasoning would improve overall presentation quality.",97.02380952,93.28358209,281.08,308,,,#
#24236912,625497,6,1,0.7,293.33,,,,79,,"Data Analytics (25%, Score 17/25): The DA portion was presented with strong thematic coherence. The charts were visually aligned with the dark and ominous aesthetic of The Hermit’s Prophecy, and the group used AI-generated images effectively to maintain stylistic consistency, demonstrating both creativity and modern DA presentation techniques. While the visuals were polished and immersive, the section would benefit from deeper explanation or clearer statistical interpretation. Even so, the execution elevated the overall quality of the project. Game Vision and User Stories (20%, Score 14/20): The group created a compelling RPG concept centered around prophecy, fate, and darkness. The slides conveyed a coherent narrative with consistent tone and worldbuilding. Although RPGs naturally borrow from established conventions, the group contextualized their own lore and storyline effectively. More explicit user stories or clearer articulation of player roles and progression would strengthen the vision, but the overarching concept was well communicated. UI/UX Mock-up (15%, Score 13/15): The UI/UX mock-ups were visually cohesive, carefully styled, and aligned with the dark fantasy theme. The use of AI-generated visuals showed resourcefulness and an understanding of how generative tools can enhance design workflow. HUD elements, interface layouts, and thematic consistency contributed to a polished and immersive mock-up. Game Mechanics (15%, Score 12/15): The mechanics were clearly presented and logically connected to the game’s vision, reflecting understanding of progression, story interaction, and combat. While some elements were derivative of common RPG structures, they formed a solid foundation. More detail on what differentiates this RPG from existing titles would improve this section. Agile Process Participation (10%, Score 10/10): The volume and quality of work strongly suggest that the team implemented Agile principles effectively. The slides’ polish and thematic consistency demonstrate coordinated task division, iteration, and collaboration. This was one of the clearest examples of effective Agile workflow in the class. Presentation (15%, Score 13/15): The presentation was confident, atmospheric, and thematically consistent. The group communicated their ideas clearly and showcased strong visual work. Slight improvements could come from more emphasis on DA interpretation or clearer differentiation of unique mechanics, but overall the delivery was strong and engaging.",98.21428571,100,301.03,308,,,#
#24237012,574401,5,0.7,0.55,213.33,,,,75,,"Data Analytics (25%, Score 15/25): The DA portion consisted of a single diagram showing increasing player counts for several popular games. While the chart was structurally correct, it lacked interpretation and did not explain why players were increasing, which trends were meaningful, or how the data informed the design of the dungeon-themed game. Given that this is a Data Analytics class, the limited emphasis on DA was noticeable. More charts, deeper analysis, or clearer explanations of how the numbers connect to design decisions would significantly improve this section. Game Vision and User Stories (20%, Score 13/20): The dungeon-themed concept was strong and visually striking, with the opening slide creating a dramatic atmosphere that fit classic fantasy exploration. The group clearly depicted team roles, which helped communicate structure and organization. Although explicit user stories were not heavily detailed, the coherence of the game world suggests the group had a solid grasp of its vision and core elements. UI/UX Mock-up (15%, Score 12/15): The mock-up effectively conveyed the look and feel of the gameplay, and the inclusion of class cards added personality and depth to the design. More explicit UI elements—such as menus, HUD indicators, or skill trees—would increase clarity, but the mock-up remained visually effective and thematically consistent. Game Mechanics (15%, Score 13/15): The mechanics appeared well developed, with meaningful attention to character roles, dungeon structure, and class abilities. The class cards in particular added depth to the system. Although not extensively described in your notes, the overall impression is that the group put substantial thought into how the game functions. Agile Process Participation (10%, Score 9/10): The polished slides and clear division of tasks indicated strong use of Agile methodology. The group appeared to work in parallel and coordinate effectively to produce a content-rich project. Presentation (15%, Score 13/15): The presentation was engaging, visually consistent with the medieval dungeon theme, and well organized. Strong imagery enhanced the mood and captured attention. Slight improvement could come from placing more emphasis on DA explanations, but overall the presentation was enjoyable and well delivered.",88.69047619,98.50746269,219.58,308,,,#
#24240238,931285,5,1,0.35,273.33,,,,75,,"Data Analytics (25%, Score 17/25): The DA portion was thematically consistent with the design and story of Last Chronicle. The charts aligned well with the fantasy-adventure aesthetic, showing good attention to visual cohesion. The inclusion of a more in-depth chart showing monthly Steam game releases was a strong analytical choice, demonstrating awareness of industry patterns and providing useful context for understanding market saturation or release-timing strategy. More interpretation—such as how release-month clustering affects competition or visibility—would strengthen the analysis, but overall the DA was solid, insightful, and well executed. Game Vision and User Stories (20%, Score 15/20): The vision for Last Chronicle, a story-driven fantasy adventure where rewriting history alters reality, was creative, coherent, and well developed. The theme remained consistent throughout the presentation, and the concept showed strong narrative imagination. Although explicit user stories were not detailed, the clarity of the world-building suggests the group understood the player’s role and motivations. This was one of the strongest components of the project. UI/UX Mock-up (15%, Score 12/15): The UI elements supported the story-driven tone of the game and maintained consistent theming. While the mock-ups could benefit from more explicit HUD or menu structures, they were cohesive and aligned with the fantasy setting, contributing positively to immersion. Game Mechanics (15%, Score 13/15): The mechanics were appropriate for a narrative-adventure design and centered around the idea of rewriting history to reshape reality, implying branching paths, consequences, and strong player agency. More detail on how these choices manifest in gameplay—through puzzles, narrative forks, or environmental changes—would elevate the section, but the foundation was solid. Agile Process Participation (10%, Score 8/10): The presentation demonstrated substantial work across all required areas, indicating good coordination and division of tasks. Consistent theme polish suggested clear communication, though slight unevenness between sections revealed room for improved parallel refinement. Overall, teamwork was good. Presentation (15%, Score 10/15): The presentation delivery lacked energy, and when questioned further, the presenter did not appear fully familiar with the project’s inner workings. Clearer articulation of mechanics and more confident engagement would strengthen future presentations.",87.5,91.04477612,279.68,308,,,#
#24242131,253865,6,0.9,0.6,273.33,,,,79,,"Data Analytics (25%, Score 17/25): The DA portion was presented with strong thematic coherence. The charts were visually aligned with the dark and ominous aesthetic of The Hermit’s Prophecy, and the group used AI-generated images effectively to maintain stylistic consistency, demonstrating both creativity and modern DA presentation techniques. While the visuals were polished and immersive, the section would benefit from deeper explanation or clearer statistical interpretation. Even so, the execution elevated the overall quality of the project. Game Vision and User Stories (20%, Score 14/20): The group created a compelling RPG concept centered around prophecy, fate, and darkness. The slides conveyed a coherent narrative with consistent tone and worldbuilding. Although RPGs naturally borrow from established conventions, the group contextualized their own lore and storyline effectively. More explicit user stories or clearer articulation of player roles and progression would strengthen the vision, but the overarching concept was well communicated. UI/UX Mock-up (15%, Score 13/15): The UI/UX mock-ups were visually cohesive, carefully styled, and aligned with the dark fantasy theme. The use of AI-generated visuals showed resourcefulness and an understanding of how generative tools can enhance design workflow. HUD elements, interface layouts, and thematic consistency contributed to a polished and immersive mock-up. Game Mechanics (15%, Score 12/15): The mechanics were clearly presented and logically connected to the game’s vision, reflecting understanding of progression, story interaction, and combat. While some elements were derivative of common RPG structures, they formed a solid foundation. More detail on what differentiates this RPG from existing titles would improve this section. Agile Process Participation (10%, Score 10/10): The volume and quality of work strongly suggest that the team implemented Agile principles effectively. The slides’ polish and thematic consistency demonstrate coordinated task division, iteration, and collaboration. This was one of the clearest examples of effective Agile workflow in the class. Presentation (15%, Score 13/15): The presentation was confident, atmospheric, and thematically consistent. The group communicated their ideas clearly and showcased strong visual work. Slight improvements could come from more emphasis on DA interpretation or clearer differentiation of unique mechanics, but overall the delivery was strong and engaging.",89.88095238,95.52238806,280.83,308,,,#
#24247100,242623,5,0.9,0.25,273.33,,,,75,,"Data Analytics (25%, Score 15/25): The DA portion consisted of a single diagram showing increasing player counts for several popular games. While the chart was structurally correct, it lacked interpretation and did not explain why players were increasing, which trends were meaningful, or how the data informed the design of the dungeon-themed game. Given that this is a Data Analytics class, the limited emphasis on DA was noticeable. More charts, deeper analysis, or clearer explanations of how the numbers connect to design decisions would significantly improve this section. Game Vision and User Stories (20%, Score 13/20): The dungeon-themed concept was strong and visually striking, with the opening slide creating a dramatic atmosphere that fit classic fantasy exploration. The group clearly depicted team roles, which helped communicate structure and organization. Although explicit user stories were not heavily detailed, the coherence of the game world suggests the group had a solid grasp of its vision and core elements. UI/UX Mock-up (15%, Score 12/15): The mock-up effectively conveyed the look and feel of the gameplay, and the inclusion of class cards added personality and depth to the design. More explicit UI elements—such as menus, HUD indicators, or skill trees—would increase clarity, but the mock-up remained visually effective and thematically consistent. Game Mechanics (15%, Score 13/15): The mechanics appeared well developed, with meaningful attention to character roles, dungeon structure, and class abilities. The class cards in particular added depth to the system. Although not extensively described in your notes, the overall impression is that the group put substantial thought into how the game functions. Agile Process Participation (10%, Score 9/10): The polished slides and clear division of tasks indicated strong use of Agile methodology. The group appeared to work in parallel and coordinate effectively to produce a content-rich project. Presentation (15%, Score 13/15): The presentation was engaging, visually consistent with the medieval dungeon theme, and well organized. Strong imagery enhanced the mood and captured attention. Slight improvement could come from placing more emphasis on DA explanations, but overall the presentation was enjoyable and well delivered.",95.23809524,91.79104478,279.48,308,,,#
#24248163,282430,6,1,0.55,140,,,,77,,"Data Analytics (25%, Score 17/25): The DA section consisted of two tables: one showing game industry and player count statistics, and another presenting a linear trend of the simulation-game market. Both tables were relevant and correctly presented, and the information aligned well with the simulation context. The use of linear trends demonstrated basic analytical thinking. However, the DA would benefit from clearer interpretation, such as explaining why simulation games trend upward, how player counts influence design decisions, or what the implications are for market timing. While correct, the analytics were more descriptive than analytical. Overall, this was a strong DA effort for a three-person group. Game Vision and User Stories (20%, Score 15/20): The game’s core idea was well developed and logically structured. User stories were clear and aligned with the vision, demonstrating thoughtful planning and understanding of the player’s perspective. Despite the small group size, the team produced a well-articulated game premise with consistency across story, mechanics, and design elements. UI/UX Mock-up (15%, Score 12/15): The aesthetics were well done, and the mock-ups were cohesive and visually appealing, aligning with the simulation theme. While more detailed HUD elements could elevate this to an excellent level, the visual direction was polished and professionally presented. Game Mechanics (15%, Score 12/15): The mechanics were fleshed out logically and suited the simulation genre well. The group demonstrated clear understanding of gameplay systems and included meaningful details. This was one of the stronger components of the project, particularly given the group’s smaller size. Agile Process Participation (10%, Score 10/10): Despite having only three members, the group produced a large amount of polished, coherent work, indicating effective implementation of Agile methodology. Task distribution, iteration, and teamwork were clearly evident. Presentation (15%, Score 11/15): The presentation was clear, visually cohesive, and well delivered. The group communicated ideas effectively and maintained thematic consistency. A more energetic delivery or deeper discussion of the DA insights would enhance the presentation further, but overall it was a solid performance.",95.83333333,93.28358209,147.55,308,,,#
#24248435,794218,6,1,0.6,213.33,,,,86,,"Data Analytics (25%, Score 17/25): The group included two visualizations, a bar chart showing 24-hour player counts for titles like Hearts of Iron and a pie chart indicating that the strategy genre dominates market share. While technically correct, the analytics did not clearly support the puzzle or exam-escape theme. The category “strategy” is too broad to inform specific puzzle-genre decisions, and there was no explanation of how the charts shaped the game concept. Using puzzle-relevant metrics or explicitly linking the data to design choices would have strengthened this section. Overall, the analytics were adequate but lacked depth and alignment. Game Vision and User Stories (20%, Score 14/20): The concept of a puzzle escape game set inside an exam hall was creative and thematically coherent. The vision was strong and relatable to student experiences, and the user stories demonstrated an understanding of gameplay goals. The idea was original and accessible, though it could benefit from slightly clearer prioritization of user objectives. UI/UX Mock-up (15%, Score 13/15): The slides contained substantial visual material and showed thoughtful interface planning. The only major improvement would be replacing real teachers’ photographs with AI-generated images for professionalism and privacy. Otherwise, the mock-ups were polished and genre-appropriate. Game Mechanics (15%, Score 14/15): The mechanics were clearly presented and well aligned with the puzzle escape concept. The group demonstrated logical progression, clever interactions, and feasible gameplay loops that tied well to the game vision. Agile Process Participation (10%, Score 10/10): The group demonstrated excellent teamwork, with strong task division and effective parallelization that reflected Agile principles. Presentation (15%, Score 13/15): The presentation was engaging, smooth, and well structured. The storytelling around the exam escape idea was strong, and communication was clear throughout. Minor improvements in pacing or projection could enhance delivery further. The group also won the class voting for best overall project, and an additional 5 points were awarded.",98.80952381,99.25373134,220.93,308,,,#
#24248559,361194,6,1,0.75,253.33,,,,76,,"Data Analytics (25%, Score 18/25): The DA portion for this group was one of the strongest among the horror-genre projects. Their analysis highlighted that Dying Light: The Beast is a top horror title in the US and also showed that horror is among the top-grossing game genres. This demonstrated clear market awareness and effective comparative benchmarking. The DA section was extensive, formatted properly, and aligned with the horror-asylum theme. The group followed your advice regarding deeper, data-driven insights rather than superficial statistics. The main improvement would be linking the data directly to their own game’s mechanics or positioning, such as explaining how their title competes within the genre. Overall, this was a high-quality DA effort. Game Vision and User Stories (20%, Score 13/20): The asylum-based horror premise was appropriate for the genre and created a strong atmosphere. The overall vision was understandable, though the narrative could benefit from more detail about the player’s role, motivations, and progression. User stories or explicit player objectives were not prominent, but the general concept was communicated clearly. UI/UX Mock-up (15%, Score 13/15): The UI/UX design was well executed, with visuals and layout consistent with horror aesthetics. The mood and tone matched the theme, and the mock-ups effectively conveyed the feel of the game environment. The professional quality of the design elevated the presentation. Additional HUD elements such as sanity meters, sound indicators, or inventory layout could enhance clarity, but the section was strong overall. Game Mechanics (15%, Score 10/15): This was the weakest part of the project. Although the premise was clear, the mechanics were only briefly outlined and lacked detail about player interactions, threats, and unique systems. More explanation of how gameplay functions or how the design draws on DA insights would strengthen coherence and demonstrate higher-level critical thinking. Agile Process Participation (10%, Score 10/10): The extensive DA work and polished UI/UX suggest strong task division and meaningful contribution from group members. While some unevenness existed between sections, the team demonstrated effective planning and collaboration. Presentation (15%, Score 12/15): The presentation was clear, visually appealing, and confidently delivered. The group showed understanding of the horror genre, especially the idea that impactful horror games often succeed with lower budgets—a thoughtful observation that added credibility. A clearer explanation of the mechanics would make the pitch more persuasive, but the overall delivery was solid.",97.61904762,96.26865672,261.08,308,,,#
#24253024,994239,6,1,0.7,253.33,,,,78,,"Data Analytics (25%, Score 17/25): The group included two visualizations, a pie chart and a linear trend chart. The pie chart was clear, properly labeled, and thematically consistent with the simulation-game aesthetic, showing good attention to design and supporting their argument that combining top-performing sub-genres strengthens their game strategy. However, the second chart showing online player growth lacked interpretation. While technically correct, the group did not explain why player numbers should increase linearly, what assumptions drive the trend, or how the insight informs game design decisions. The analytics were relevant but not fully developed. Game Vision and User Stories (20%, Score 13/20): The group presented a clear vision suitable for a simulation game, and the concept aligned with their theme. The brief indicated logical thinking, and although user stories were not deeply outlined, the idea demonstrated an adequate understanding of gameplay goals and target users. Prioritization could have been more explicit, but the foundation was solid. UI/UX Mock-up (15%, Score 13/15): The mock-up resembled a real simulation game interface, and the animation added visual quality. The layout and HUD elements showed strong understanding of UX in this genre. The work was polished and met expectations. Game Mechanics (15%, Score 13/15): Core mechanics were clearly described and consistent with typical simulation gameplay loops. The group demonstrated understanding of progression and functional systems, though more depth in resource dynamics or player decision consequences would strengthen the mechanics. Agile Process Participation (10%, Score 9/10): The team appeared organized, with deliverables completed on time and tasks generally well distributed. There was minor unevenness in refinement, but teamwork overall was strong. Presentation (15%, Score 13/15): The presenter communicated the ideas clearly but could have shown more energy and engagement. Pacing and articulation were acceptable, though greater enthusiasm and eye contact would have enhanced delivery. Overall, the presentation conveyed the key ideas effectively.",97.61904762,94.02985075,261.03,308,,,#
#24260379,359067,6,0.7,0.2,280,,,,68,,"Data Analytics (25%, Score 15/25): The most notable DA element was an original bar chart visualizing user story priorities, showing creativity in merging Agile concepts with data visualization. However, the execution had several weaknesses. The color coding was misleading, with high priorities appearing in red—a color usually associated with negative or low value—and low priorities in blue. The chart lacked interpretation and did not explain how these priorities influenced the game design. No clear connection was drawn between the DA insights and the mechanics, theme, or gameplay. While the attempt was original, the absence of analytic reasoning and the confusing visual choices limit the DA score. Game Vision and User Stories (20%, Score 11/20): The concept of an RPG city exploration game is workable, but the vision was not articulated in enough detail. More clarity was needed on what makes this particular city exploration unique, who the player is, and what the core gameplay loop entails. Although the user story prioritization chart appeared in the DA section, the user stories themselves were not clearly tied back to the gameplay or vision, weakening coherence. UI/UX Mock-up (15%, Score 10/15): UI/UX was clearly a weaker element. A standard PowerPoint template was used with minimal customization, and the visuals lacked cohesion and thematic identity. An AI-generated mock-up was included, but it did not meaningfully communicate the interface or atmosphere. Overall, the section appeared underdeveloped and suggested limited design effort and incomplete understanding of UI expectations. Game Mechanics (15%, Score 10/15): The mechanics were present but not well developed. Many ideas were generic RPG city-exploration elements with limited originality. There was little explanation of how the mechanics interact, why they matter for player experience, or how they differentiate the game from existing titles. Agile Process Participation (10%, Score 8/10): Sparse mock-ups, limited aesthetic work, and uneven depth across sections suggest that Agile principles were not effectively applied. Task distribution appeared uneven, with insufficient parallel development. Better coordination and stronger design execution would have improved this component. Presentation (15%, Score 14/15): The presentation itself was clear, and the presenter was well chosen. The group communicated the basic concept effectively. Improvements in pacing, narrative articulation, and slide design would strengthen future presentations, but overall this section was solid relative to the rest of the project.",96.42857143,91.79104478,286.9,308,,,#
#24261490,442745,5,1,0.45,240,,,,75,,"Data Analytics (25%, Score 17/25): The DA portion was thematically consistent with the design and story of Last Chronicle. The charts aligned well with the fantasy-adventure aesthetic, showing good attention to visual cohesion. The inclusion of a more in-depth chart showing monthly Steam game releases was a strong analytical choice, demonstrating awareness of industry patterns and providing useful context for understanding market saturation or release-timing strategy. More interpretation—such as how release-month clustering affects competition or visibility—would strengthen the analysis, but overall the DA was solid, insightful, and well executed. Game Vision and User Stories (20%, Score 15/20): The vision for Last Chronicle, a story-driven fantasy adventure where rewriting history alters reality, was creative, coherent, and well developed. The theme remained consistent throughout the presentation, and the concept showed strong narrative imagination. Although explicit user stories were not detailed, the clarity of the world-building suggests the group understood the player’s role and motivations. This was one of the strongest components of the project. UI/UX Mock-up (15%, Score 12/15): The UI elements supported the story-driven tone of the game and maintained consistent theming. While the mock-ups could benefit from more explicit HUD or menu structures, they were cohesive and aligned with the fantasy setting, contributing positively to immersion. Game Mechanics (15%, Score 13/15): The mechanics were appropriate for a narrative-adventure design and centered around the idea of rewriting history to reshape reality, implying branching paths, consequences, and strong player agency. More detail on how these choices manifest in gameplay—through puzzles, narrative forks, or environmental changes—would elevate the section, but the foundation was solid. Agile Process Participation (10%, Score 8/10): The presentation demonstrated substantial work across all required areas, indicating good coordination and division of tasks. Consistent theme polish suggested clear communication, though slight unevenness between sections revealed room for improved parallel refinement. Overall, teamwork was good. Presentation (15%, Score 10/15): The presentation delivery lacked energy, and when questioned further, the presenter did not appear fully familiar with the project’s inner workings. Clearer articulation of mechanics and more confident engagement would strengthen future presentations.",100,95.52238806,246.45,308,,,#
#24265973,641370,6,1,0.4,253.33,,,,68,,"Data Analytics (25%, Score 15/25): The most notable DA element was an original bar chart visualizing user story priorities, showing creativity in merging Agile concepts with data visualization. However, the execution had several weaknesses. The color coding was misleading, with high priorities appearing in red—a color usually associated with negative or low value—and low priorities in blue. The chart lacked interpretation and did not explain how these priorities influenced the game design. No clear connection was drawn between the DA insights and the mechanics, theme, or gameplay. While the attempt was original, the absence of analytic reasoning and the confusing visual choices limit the DA score. Game Vision and User Stories (20%, Score 11/20): The concept of an RPG city exploration game is workable, but the vision was not articulated in enough detail. More clarity was needed on what makes this particular city exploration unique, who the player is, and what the core gameplay loop entails. Although the user story prioritization chart appeared in the DA section, the user stories themselves were not clearly tied back to the gameplay or vision, weakening coherence. UI/UX Mock-up (15%, Score 10/15): UI/UX was clearly a weaker element. A standard PowerPoint template was used with minimal customization, and the visuals lacked cohesion and thematic identity. An AI-generated mock-up was included, but it did not meaningfully communicate the interface or atmosphere. Overall, the section appeared underdeveloped and suggested limited design effort and incomplete understanding of UI expectations. Game Mechanics (15%, Score 10/15): The mechanics were present but not well developed. Many ideas were generic RPG city-exploration elements with limited originality. There was little explanation of how the mechanics interact, why they matter for player experience, or how they differentiate the game from existing titles. Agile Process Participation (10%, Score 8/10): Sparse mock-ups, limited aesthetic work, and uneven depth across sections suggest that Agile principles were not effectively applied. Task distribution appeared uneven, with insufficient parallel development. Better coordination and stronger design execution would have improved this component. Presentation (15%, Score 14/15): The presentation itself was clear, and the presenter was well chosen. The group communicated the basic concept effectively. Improvements in pacing, narrative articulation, and slide design would strengthen future presentations, but overall this section was solid relative to the rest of the project.",96.42857143,91.04477612,260.73,308,,,#
